TradeID,OrderID,Trader,Account,Branch,route,bkrsym,rrno,B/S,SHORT,Market,symb,qty,price,time
20020,20457,ZIMDASE1BBA,ZIMDASE1BBA,,ARCA,,,S,N,Lmt,ENGN,1,10.28,11/11/25 07:51:56
20197,20606,ZIMDASE1BBA,ZIMDASE1BBA,,ARCA,,,S,N,Lmt,ENGN,2,9.5003,11/11/25 07:52:11
15582,15708,ZIMDASE1BBA,ZIMDASE1BBA,,ARCA,,,B,N,Lmt,VCIG,12,2.66,11/11/25 07:30:03
25643,25930,ZIMDASE1BBA,ZIMDASE1BBA,,ARCA,,,B,N,Lmt,ENGN,1,10.35,11/11/25 08:14:55
25729,26035,ZIMDASE1BBA,ZIMDASE1BBA,,ARCA,,,B,N,Lmt,ENGN,5,10.21,11/11/25 08:15:11
30737,31385,ZIMDASE1BBA,ZIMDASE1BBA,,ARCA,,,B,N,Lmt,TURB,11,4.13,11/11/25 08:36:19
25845,26138,ZIMDASE1BBA,ZIMDASE1BBA,,ARCA,,,B,N,Lmt,ENGN,9,10.02,11/11/25 08:15:25
30895,31586,ZIMDASE1BBA,ZIMDASE1BBA,,ARCA,,,B,N,Lmt,TURB,13,3.98,11/11/25 08:37:01
25937,26229,ZIMDASE1BBA,ZIMDASE1BBA,,ARCA,,,S,N,Lmt,ENGN,4,10.06,11/11/25 08:15:41
16016,16196,ZIMDASE1BBA,ZIMDASE1BBA,,ARCA,,,S,N,Lmt,VCIG,2,2.72,11/11/25 07:31:14
16017,16196,ZIMDASE1BBA,ZIMDASE1BBA,,ARCA,,,S,N,Lmt,VCIG,4,2.72,11/11/25 07:31:14
26171,26484,ZIMDASE1BBA,ZIMDASE1BBA,,ARCA,,,S,N,Lmt,ENGN,3,10.08,11/11/25 08:16:23
31196,31837,ZIMDASE1BBA,ZIMDASE1BBA,,ARCA,,,B,N,Lmt,TURB,3,3.89,11/11/25 08:37:20
26331,26669,ZIMDASE1BBA,ZIMDASE1BBA,,ARCA,,,B,N,Lmt,ENGN,6,9.84,11/11/25 08:17:33
26390,26728,ZIMDASE1BBA,ZIMDASE1BBA,,ARCA,,,S,N,Lmt,ENGN,7,9.98,11/11/25 08:17:51
26524,26824,ZIMDASE1BBA,ZIMDASE1BBA,,ARCA,,,B,N,Lmt,ENGN,5,9.75,11/11/25 08:18:27
31609,32213,ZIMDASE1BBA,ZIMDASE1BBA,,ARCA,,,B,N,Lmt,TURB,14,3.67,11/11/25 08:38:01
26748,27054,ZIMDASE1BBA,ZIMDASE1BBA,,ARCA,,,S,N,Lmt,ENGN,12,9.94,11/11/25 08:19:20
31779,32399,ZIMDASE1BBA,ZIMDASE1BBA,,ARCA,,,S,N,Lmt,TURB,41,3.39,11/11/25 08:38:10
16977,17180,ZIMDASE1BBA,ZIMDASE1BBA,,ARCA,,,S,N,Lmt,VCIG,1,2.56,11/11/25 07:34:55
16979,17180,ZIMDASE1BBA,ZIMDASE1BBA,,ARCA,,,S,N,Lmt,VCIG,1,2.56,11/11/25 07:34:56
26986,27297,ZIMDASE1BBA,ZIMDASE1BBA,,ARCA,,,B,N,Lmt,ENGN,2,9.68,11/11/25 08:20:57
17039,17212,ZIMDASE1BBA,ZIMDASE1BBA,,ARCA,,,B,N,Lmt,VCIG,16,2.54,11/11/25 07:35:02
17135,17299,ZIMDASE1BBA,ZIMDASE1BBA,,ARCA,,,S,N,Lmt,VCIG,10,2.56,11/11/25 07:35:20
17434,17675,ZIMDASE1BBA,ZIMDASE1BBA,,ARCA,,,S,N,Lmt,VCIG,3,2.56,11/11/25 07:36:43
27539,27836,ZIMDASE1BBA,ZIMDASE1BBA,,ARCA,,,B,N,Lmt,ENGN,6,9.44,11/11/25 08:23:53
17549,17840,ZIMDASE1BBA,ZIMDASE1BBA,,ARCA,,,S,N,Lmt,VCIG,4,2.57,11/11/25 07:37:44
17586,17898,ZIMDASE1BBA,ZIMDASE1BBA,,ARCA,,,S,N,Lmt,VCIG,3,2.55,11/11/25 07:38:03
28229,28569,ZIMDASE1BBA,ZIMDASE1BBA,,ARCA,,,S,N,Lmt,ENGN,8,9.37,11/11/25 08:27:57
19536,19966,ZIMDASE1BBA,ZIMDASE1BBA,,ARCA,,,B,N,Lmt,ENGN,6,9.69,11/11/25 07:49:59
19771,20221,ZIMDASE1BBA,ZIMDASE1BBA,,ARCA,,,S,N,Lmt,ENGN,3,10.04,11/11/25 07:50:38
